phase,language,cue_type,word,expected,rank,topk,resonance_expected,margin,success
5,JP,fusion,そら,そら,1,"['そら', 'sky', 'small', 'みる', 'でる']",0.0,0.0,True
5,JP,fusion,やま,やま,1,"['やま', 'mountain', 'big', 'いく', 'はいる']",0.0,0.0,True
5,JP,fusion,かわ,かわ,1,"['かわ', 'river', 'すくない', 'drink', 'down']",0.0,0.0,True
5,JP,fusion,うみ,うみ,1,"['うみ', 'sea', 'うえ', 'high', 'study']",0.0,0.0,True
5,JP,fusion,ひと,ひと,1,"['ひと', 'person', 'ひ', 'ひかり', 'mountain']",0.0,0.0,True
5,JP,fusion,こども,こども,1,"['こども', 'child', 'river', 'come', 'exit']",0.0,0.0,True
5,JP,fusion,べんきょう,べんきょう,1,"['べんきょう', 'study', 'たかい', 'くる', 'water']",0.0,0.0,True
5,JP,fusion,いのち,いのち,1,"['いのち', 'life', 'いく', 'many', 'した']",0.0,0.0,True
5,JP,fusion,たべる,たべる,1,"['たべる', 'eat', 'moon', 'たかい', 'person']",0.0,0.0,True
5,JP,fusion,のむ,のむ,1,"['のむ', 'drink', 'light', 'life', 'ながい']",0.0,0.0,True
5,JP,fusion,みる,みる,1,"['みる', 'see', 'みず', 'ふるい', 'くる']",0.0,0.0,True
5,JP,fusion,いく,いく,1,"['いく', 'go', 'すくない', 'いのち', 'small']",0.0,0.0,True
5,JP,fusion,くる,くる,1,"['くる', 'come', 'でる', 'みる', 'ふるい']",0.0,0.0,True
5,JP,fusion,はいる,はいる,1,"['はいる', 'enter', 'はやい', 'やま', 'ちいさい']",0.0,0.0,True
5,JP,fusion,でる,でる,1,"['でる', 'exit', 'くる', 'ふるい', 'study']",0.0,0.0,True
5,JP,fusion,おおきい,おおきい,1,"['おおきい', 'big', 'おおい', 'mountain', 'high']",0.0,0.0,True
5,JP,fusion,ちいさい,ちいさい,1,"['ちいさい', 'small', 'はいる', 'うえ', 'child']",0.0,0.0,True
5,JP,fusion,ながい,ながい,1,"['ながい', 'long', 'ひ', 'つき', 'うえ']",0.0,0.0,True
5,JP,fusion,たかい,たかい,1,"['たかい', 'high', 'たべる', 'ひかり', 'べんきょう']",0.0,0.0,True
5,JP,fusion,あたらしい,あたらしい,1,"['あたらしい', 'new', 'した', 'down', 'すくない']",0.0,0.0,True
5,JP,fusion,ふるい,ふるい,1,"['ふるい', 'old', 'みる', 'でる', 'くる']",0.0,0.0,True
5,JP,fusion,はやい,はやい,1,"['はやい', 'early', 'はいる', 'life', 'いく']",0.0,0.0,True
5,JP,fusion,おおい,おおい,1,"['おおい', 'many', 'おおきい', 'new', 'up']",0.0,0.0,True
5,JP,fusion,すくない,すくない,1,"['すくない', 'few', 'いく', 'あたらしい', 'べんきょう']",0.0,0.0,True
5,JP,fusion,うえ,うえ,1,"['うえ', 'up', 'うみ', 'new', 'early']",0.0,0.0,True
5,JP,fusion,した,した,1,"['した', 'down', 'water', 'あたらしい', 'うえ']",0.0,0.0,True
5,EN,fusion,light,light,1,"['light', 'ひかり', 'life', 'high', 'river']",0.0,0.0,True
5,EN,fusion,water,water,1,"['water', 'みず', 'many', 'eat', 'see']",0.0,0.0,True
5,EN,fusion,fire,fire,1,"['fire', 'ひ', 'big', 'high', 'few']",0.0,0.0,True
5,EN,fusion,moon,moon,1,"['moon', 'つき', 'go', 'long', 'down']",0.0,0.0,True
5,EN,fusion,sky,sky,1,"['sky', 'そら', 'sea', 'see', 'big']",0.0,0.0,True
5,EN,fusion,mountain,mountain,1,"['mountain', 'やま', 'moon', 'long', 'go']",0.0,0.0,True
5,EN,fusion,river,river,1,"['river', 'かわ', 'high', 'life', 'light']",0.0,0.0,True
5,EN,fusion,sea,sea,1,"['sea', 'うみ', 'see', 'person', 'study']",0.0,0.0,True
5,EN,fusion,person,person,1,"['person', 'ひと', 'sea', 'see', 'new']",0.0,0.0,True
5,EN,fusion,child,child,1,"['child', 'こども', 'した', 'come', 'のむ']",0.0,0.0,True
5,EN,fusion,study,study,1,"['study', 'べんきょう', 'see', 'sea', 'small']",0.0,0.0,True
5,EN,fusion,life,life,1,"['life', 'いのち', 'light', 'big', 'high']",0.0,0.0,True
5,EN,fusion,eat,eat,1,"['eat', 'たべる', 'early', 'enter', 'many']",0.0,0.0,True
5,EN,fusion,drink,drink,1,"['drink', 'のむ', 'down', 'up', 'see']",0.0,0.0,True
5,EN,fusion,see,see,1,"['see', 'みる', 'sea', 'person', 'small']",0.0,0.0,True
5,EN,fusion,go,go,1,"['go', 'いく', 'moon', 'down', 'long']",0.0,0.0,True
5,EN,fusion,come,come,1,"['come', 'くる', 'go', 'moon', 'long']",0.0,0.0,True
5,EN,fusion,enter,enter,1,"['enter', 'はいる', 'early', 'eat', 'exit']",0.0,0.0,True
5,EN,fusion,exit,exit,1,"['exit', 'でる', 'eat', 'おおい', 'enter']",0.0,0.0,True
5,EN,fusion,big,big,1,"['big', 'おおきい', 'life', 'fire', 'light']",0.0,0.0,True
5,EN,fusion,small,small,1,"['small', 'ちいさい', 'see', 'sea', 'sky']",0.0,0.0,True
5,EN,fusion,long,long,1,"['long', 'ながい', 'go', 'moon', 'come']",0.0,0.0,True
5,EN,fusion,high,high,1,"['high', 'たかい', 'big', 'life', 'river']",0.0,0.0,True
5,EN,fusion,new,new,1,"['new', 'あたらしい', 'few', 'person', 'see']",0.0,0.0,True
5,EN,fusion,old,old,1,"['old', 'ふるい', 'child', 'sea', 'few']",0.0,0.0,True
5,EN,fusion,early,early,1,"['early', 'はやい', 'eat', 'many', 'enter']",0.0,0.0,True
5,EN,fusion,many,many,1,"['many', 'おおい', 'eat', 'moon', 'early']",0.0,0.0,True
5,EN,fusion,few,few,1,"['few', 'すくない', 'new', 'see', 'fire']",0.0,0.0,True
5,EN,fusion,up,up,1,"['up', 'うえ', 'おおい', 'ふるい', 'おおきい']",0.0,0.0,True
5,EN,fusion,down,down,1,"['down', 'した', 'go', 'moon', 'come']",0.0,0.0,True
